payment_id,txn_id,payment_type,amount,payment_date,status
5001,2434,Electricity,5583,26-11-2024,FAILED
5002,4795,Mobile Recharge,14385,19-05-2025,SUCCESS
5003,1927,Insurance Premium,45392,27-02-2024,SUCCESS
5004,4388,Credit Card Bill,35351,22-02-2024,SUCCESS
5005,3358,DTH Recharge,28652,03-03-2025,FAILED
5006,1360,Insurance Premium,27712,01-06-2024,FAILED
5007,4244,Credit Card Bill,31856,05-02-2024,SUCCESS
5008,1524,DTH Recharge,20152,15-05-2024,SUCCESS
5009,3462,Insurance Premium,21299,24-07-2025,SUCCESS
5010,4499,Electricity,8381,01-06-2024,SUCCESS
5011,3219,Mobile Recharge,46335,25-08-2025,SUCCESS
5012,1757,Credit Card Bill,45182,05-05-2024,FAILED
5013,3104,Credit Card Bill,5119,11-04-2024,FAILED
5014,1150,Insurance Premium,6991,09-08-2025,SUCCESS
5015,1217,Credit Card Bill,15488,31-01-2025,FAILED
5016,4392,DTH Recharge,22744,07-09-2024,FAILED
5017,4243,Electricity,36383,03-05-2025,SUCCESS
5018,3575,DTH Recharge,1021,19-09-2024,SUCCESS
5019,4444,Insurance Premium,9015,23-02-2026,FAILED
5020,3594,Insurance Premium,45781,15-08-2024,FAILED
5021,3714,DTH Recharge,32323,01-11-2025,SUCCESS
5022,2697,Credit Card Bill,36433,29-12-2024,SUCCESS
5023,2957,Credit Card Bill,31358,01-06-2024,SUCCESS
5024,3985,DTH Recharge,1705,03-01-2026,SUCCESS
5025,4846,Electricity,6066,12-10-2025,FAILED
5026,2110,Mobile Recharge,39898,04-02-2024,FAILED
5027,1482,Credit Card Bill,14062,27-09-2025,FAILED
5028,4093,Credit Card Bill,37159,17-10-2025,FAILED
5029,3407,Insurance Premium,16695,06-01-2026,SUCCESS
5030,2223,Credit Card Bill,16618,26-11-2024,SUCCESS
5031,4058,Electricity,48757,06-02-2024,SUCCESS
5032,3697,Insurance Premium,48329,23-09-2025,SUCCESS
5033,2859,DTH Recharge,2000,14-12-2024,SUCCESS
5034,4418,DTH Recharge,47173,31-05-2024,SUCCESS
5035,4292,Mobile Recharge,21114,15-11-2025,SUCCESS
5036,3277,Insurance Premium,1648,10-03-2025,FAILED
5037,3801,Mobile Recharge,38316,23-11-2024,SUCCESS
5038,1089,DTH Recharge,40734,11-04-2025,FAILED
5039,3786,Credit Card Bill,9584,13-06-2025,SUCCESS
5040,2310,Electricity,46391,26-02-2025,FAILED
5041,2387,Credit Card Bill,24870,08-07-2025,FAILED
5042,2701,Credit Card Bill,36159,30-07-2025,FAILED
5043,2451,DTH Recharge,25002,21-02-2025,SUCCESS
5044,1603,Insurance Premium,10129,15-02-2025,FAILED
5045,3404,Insurance Premium,29329,04-05-2025,FAILED
5046,3219,Credit Card Bill,46948,06-10-2024,FAILED
5047,4066,DTH Recharge,34882,26-11-2024,SUCCESS
5048,2772,Insurance Premium,46857,03-01-2025,SUCCESS
5049,1492,Insurance Premium,14283,04-03-2026,FAILED
5050,2445,DTH Recharge,7894,05-05-2025,SUCCESS
5051,3219,Insurance Premium,36053,31-08-2024,FAILED
5052,3489,Insurance Premium,2887,21-02-2025,SUCCESS
5053,3385,Electricity,38025,08-06-2025,FAILED
5054,1317,Electricity,23536,04-02-2025,SUCCESS
5055,2523,DTH Recharge,2521,16-08-2024,FAILED
5056,2278,Insurance Premium,19481,02-11-2024,FAILED
5057,2742,DTH Recharge,16927,26-11-2024,FAILED
5058,4146,Credit Card Bill,16301,10-04-2024,SUCCESS
5059,2761,Electricity,3281,13-10-2025,FAILED
5060,2601,Credit Card Bill,43995,24-09-2024,FAILED
5061,1277,Mobile Recharge,44811,22-04-2024,SUCCESS
5062,1360,Credit Card Bill,31053,05-08-2025,FAILED
5063,2045,Insurance Premium,11345,22-09-2025,SUCCESS
5064,2526,DTH Recharge,7142,02-09-2025,FAILED
5065,4942,Mobile Recharge,49484,09-08-2024,SUCCESS
5066,4352,DTH Recharge,2980,14-01-2026,FAILED
5067,4488,Credit Card Bill,6302,19-11-2024,SUCCESS
5068,3226,Insurance Premium,13930,19-12-2024,FAILED
5069,1501,Credit Card Bill,627,08-03-2025,FAILED
5070,4204,Electricity,360,04-08-2024,FAILED
5071,3241,Credit Card Bill,36476,23-04-2025,FAILED
5072,4682,Mobile Recharge,11309,24-12-2025,FAILED
5073,3714,Electricity,6840,22-10-2025,SUCCESS
5074,1139,DTH Recharge,32761,06-11-2024,SUCCESS
5075,4415,Electricity,37410,20-01-2024,SUCCESS
5076,2080,Insurance Premium,24396,15-09-2024,FAILED
5077,3379,Mobile Recharge,18113,27-06-2025,SUCCESS
5078,2874,DTH Recharge,44048,09-06-2024,SUCCESS
5079,2432,DTH Recharge,10207,09-02-2026,SUCCESS
5080,3774,Insurance Premium,17806,02-07-2025,FAILED
5081,2003,Mobile Recharge,46600,06-08-2025,FAILED
5082,2040,Insurance Premium,6399,25-06-2024,SUCCESS
5083,3574,Credit Card Bill,27958,13-03-2025,FAILED
5084,2545,Mobile Recharge,24632,17-01-2025,SUCCESS
5085,3424,DTH Recharge,27017,20-06-2024,FAILED
5086,2366,Credit Card Bill,29353,18-04-2024,SUCCESS
5087,2391,Insurance Premium,40665,14-09-2024,FAILED
5088,3204,DTH Recharge,6121,18-02-2026,SUCCESS
5089,4127,Credit Card Bill,18566,29-05-2025,SUCCESS
5090,3132,Electricity,11561,08-08-2025,FAILED
5091,2675,Insurance Premium,30235,13-01-2026,FAILED
5092,2808,DTH Recharge,4203,05-01-2024,FAILED
5093,1434,DTH Recharge,9647,21-08-2025,FAILED
5094,2355,DTH Recharge,13809,08-01-2024,FAILED
5095,3560,Credit Card Bill,37973,01-10-2025,FAILED
5096,4435,Insurance Premium,20021,04-05-2024,SUCCESS
5097,3163,Electricity,47460,19-10-2024,FAILED
5098,3374,Insurance Premium,12681,13-12-2024,FAILED
5099,4219,Credit Card Bill,30420,16-09-2025,FAILED
5100,4734,Insurance Premium,34297,11-10-2024,FAILED
5101,1939,DTH Recharge,3560,07-04-2024,SUCCESS
5102,1589,DTH Recharge,31237,23-07-2025,SUCCESS
5103,2044,DTH Recharge,40859,15-06-2024,SUCCESS
5104,3737,Electricity,37367,06-05-2024,SUCCESS
5105,4077,Mobile Recharge,13068,24-08-2024,SUCCESS
5106,2779,Credit Card Bill,2861,12-12-2025,FAILED
5107,2598,Credit Card Bill,39189,04-09-2024,SUCCESS
5108,4180,Mobile Recharge,41333,21-09-2025,FAILED
5109,3193,Credit Card Bill,3265,24-12-2025,SUCCESS
5110,4680,Mobile Recharge,37240,08-06-2024,FAILED
5111,4124,Electricity,37492,18-10-2025,SUCCESS
5112,1376,DTH Recharge,43420,17-09-2024,FAILED
5113,3548,Electricity,12363,03-03-2024,FAILED
5114,4658,Credit Card Bill,39237,27-02-2024,FAILED
5115,1726,Insurance Premium,18731,18-09-2025,FAILED
5116,3280,Electricity,39536,01-11-2025,FAILED
5117,3611,Electricity,1378,15-07-2025,SUCCESS
5118,2309,DTH Recharge,19932,16-12-2025,FAILED
5119,2193,Electricity,39968,01-05-2025,FAILED
5120,1156,Insurance Premium,43456,02-01-2024,SUCCESS
5121,1067,Electricity,28377,19-12-2024,FAILED
5122,4440,DTH Recharge,7511,19-09-2025,SUCCESS
5123,1275,Insurance Premium,32811,01-01-2025,SUCCESS
5124,1098,Electricity,28111,04-04-2024,SUCCESS
5125,1210,DTH Recharge,4247,14-01-2024,FAILED
5126,3565,Insurance Premium,3853,23-03-2024,SUCCESS
5127,3227,Mobile Recharge,27398,09-11-2024,FAILED
5128,3887,Mobile Recharge,29345,26-03-2024,FAILED
5129,3033,Electricity,36991,07-06-2025,FAILED
5130,3451,Insurance Premium,36449,21-05-2025,SUCCESS
5131,4346,DTH Recharge,13880,02-06-2024,SUCCESS
5132,4865,DTH Recharge,25258,11-09-2024,FAILED
5133,4243,Electricity,47760,22-07-2024,SUCCESS
5134,2264,DTH Recharge,26694,17-10-2025,FAILED
5135,1072,Electricity,19520,24-06-2024,SUCCESS
5136,1731,Credit Card Bill,37631,01-05-2025,SUCCESS
5137,1451,Insurance Premium,38241,24-08-2024,FAILED
5138,4629,Insurance Premium,40955,19-11-2024,FAILED
5139,2651,Credit Card Bill,1584,28-01-2025,FAILED
5140,4287,Mobile Recharge,29397,30-11-2025,SUCCESS
5141,2059,Insurance Premium,2989,02-05-2024,FAILED
5142,1757,Mobile Recharge,6898,26-10-2024,SUCCESS
5143,4523,Insurance Premium,11358,22-05-2025,SUCCESS
5144,3277,Mobile Recharge,26709,18-02-2024,SUCCESS
5145,1525,Mobile Recharge,46279,07-09-2024,FAILED
5146,2192,Insurance Premium,48493,19-05-2025,FAILED
5147,2074,Insurance Premium,42430,03-12-2025,SUCCESS
5148,1788,Credit Card Bill,18656,22-02-2024,SUCCESS
5149,3583,Mobile Recharge,18873,27-01-2026,FAILED
5150,1597,Credit Card Bill,38397,22-02-2026,FAILED
5151,4594,Insurance Premium,16976,23-01-2024,FAILED
5152,1091,DTH Recharge,8465,09-01-2026,SUCCESS
5153,3486,Mobile Recharge,8938,01-07-2024,FAILED
5154,1879,Mobile Recharge,42446,10-02-2024,FAILED
5155,3108,Electricity,22514,04-08-2025,FAILED
5156,3576,Credit Card Bill,200,09-08-2025,FAILED
5157,1176,DTH Recharge,27857,03-02-2024,FAILED
5158,1784,Electricity,41849,19-05-2025,SUCCESS
5159,2017,Credit Card Bill,27882,14-07-2025,SUCCESS
5160,4279,Electricity,45430,10-07-2024,FAILED
5161,1597,Mobile Recharge,18320,11-10-2024,SUCCESS
5162,1664,DTH Recharge,25861,09-02-2024,FAILED
5163,2092,Mobile Recharge,38967,23-02-2026,FAILED
5164,1506,Insurance Premium,25034,16-10-2024,FAILED
