txn_id,customer_id,amount,payment_mode,status,txn_date,year,month
1001,288,433648,IMPS,FAILED,2025-01-31,2025,1
1002,132,960243,IMPS,FAILED,2024-09-18,2024,9
1003,236,366891,NEFT,SUCCESS,2026-01-27,2026,1
1004,105,253005,NEFT,SUCCESS,2024-08-05,2024,8
1005,188,416700,IMPS,FAILED,2024-06-18,2024,6
1006,223,82645,IMPS,FAILED,2024-02-21,2024,2
1007,251,928708,IMPS,FAILED,2026-01-23,2026,1
1008,147,462877,UPI,SUCCESS,2024-02-16,2024,2
1009,127,360576,UPI,FAILED,2026-02-07,2026,2
1010,174,359233,IMPS,SUCCESS,2024-08-19,2024,8
1011,162,197889,CARD,SUCCESS,2025-06-15,2025,6
1012,280,899849,CARD,FAILED,2025-05-31,2025,5
1013,235,684471,UPI,FAILED,2025-12-12,2025,12
1014,293,149241,IMPS,SUCCESS,2024-05-01,2024,5
1015,237,954655,NEFT,SUCCESS,2024-10-29,2024,10
1016,119,997603,IMPS,SUCCESS,2025-11-24,2025,11
1017,263,622314,UPI,FAILED,2024-02-24,2024,2
1018,282,112620,UPI,FAILED,2025-06-28,2025,6
1019,300,453378,CARD,SUCCESS,2024-11-17,2024,11
1020,295,171696,IMPS,SUCCESS,2024-07-17,2024,7
1021,165,974939,CARD,SUCCESS,2024-02-02,2024,2
1022,166,108459,NEFT,FAILED,2026-03-01,2026,3
1023,237,627271,CARD,FAILED,2025-05-08,2025,5
1024,227,283206,NEFT,FAILED,2024-05-04,2024,5
1025,271,133440,NEFT,SUCCESS,2024-03-08,2024,3
1026,276,595431,CARD,FAILED,2025-08-28,2025,8
1027,133,260032,NEFT,SUCCESS,2025-07-10,2025,7
1028,171,637333,CARD,SUCCESS,2025-12-31,2025,12
1029,292,553004,CARD,SUCCESS,2025-10-27,2025,10
1030,256,527182,IMPS,SUCCESS,2024-11-01,2024,11
1031,149,335288,NEFT,FAILED,2025-08-30,2025,8
1032,236,967686,UPI,FAILED,2025-05-10,2025,5
1033,139,650806,NEFT,SUCCESS,2024-03-18,2024,3
1034,273,543899,UPI,FAILED,2025-04-10,2025,4
1035,169,43726,NEFT,SUCCESS,2026-02-17,2026,2
1036,292,333173,CARD,FAILED,2025-10-16,2025,10
1037,266,1563,NEFT,FAILED,2025-08-06,2025,8
1038,138,315828,NEFT,SUCCESS,2025-09-11,2025,9
1039,177,70125,IMPS,FAILED,2026-01-14,2026,1
1040,256,13133,UPI,SUCCESS,2025-04-22,2025,4
1041,276,72118,CARD,SUCCESS,2026-01-08,2026,1
1042,152,643396,NEFT,SUCCESS,2024-09-07,2024,9
1043,173,159531,UPI,SUCCESS,2025-11-07,2025,11
1044,200,378856,UPI,SUCCESS,2024-08-29,2024,8
1045,182,338024,IMPS,FAILED,2025-12-28,2025,12
1046,168,676775,NEFT,SUCCESS,2024-04-19,2024,4
1047,233,29311,UPI,SUCCESS,2025-06-06,2025,6
1048,175,110394,NEFT,FAILED,2024-11-24,2024,11
1049,122,941898,IMPS,SUCCESS,2026-02-09,2026,2
1050,145,131722,NEFT,SUCCESS,2024-10-25,2024,10
1051,137,402186,CARD,FAILED,2024-01-11,2024,1
1052,198,955659,UPI,FAILED,2024-12-14,2024,12
1053,296,512526,IMPS,FAILED,2024-12-29,2024,12
1054,218,309994,IMPS,SUCCESS,2025-03-06,2025,3
1055,147,179846,UPI,FAILED,2025-12-12,2025,12
1056,117,669606,IMPS,SUCCESS,2024-03-14,2024,3
1057,108,158139,NEFT,SUCCESS,2024-04-03,2024,4
1058,273,772287,NEFT,FAILED,2024-05-26,2024,5
1059,212,611378,IMPS,FAILED,2025-11-10,2025,11
1060,217,429180,UPI,SUCCESS,2024-10-29,2024,10
1061,222,547482,IMPS,SUCCESS,2025-07-24,2025,7
1062,276,890616,UPI,SUCCESS,2025-07-26,2025,7
1063,240,179899,NEFT,SUCCESS,2024-08-21,2024,8
1064,291,509996,NEFT,FAILED,2025-03-29,2025,3
1065,280,926359,IMPS,FAILED,2025-07-12,2025,7
1066,181,564048,NEFT,FAILED,2025-01-25,2025,1
1067,185,934443,IMPS,SUCCESS,2026-02-01,2026,2
1068,220,328370,NEFT,FAILED,2025-10-01,2025,10
1069,216,349499,IMPS,SUCCESS,2024-07-29,2024,7
