retailer_id,retailer_name,region,channel,onboarded_date,credit_limit,default_score,contact_number,email_id,gst_registered
R000,Retailer_0,South,Modern Trade,2021-12-28T00:00:00.000000000,66864.71052116607,0.06838489180817897,+91-9663926434,user0@retail.com,False
R001,Retailer_1,North,Online,2015-08-06T00:00:00.000000000,39385.97690806786,0.11323698801763282,+91-9179598549,user1@retail.com,True
R002,Retailer_2,West,Online,2022-12-05T00:00:00.000000000,19552.294879238503,0.49126009798743575,+91-9855936588,user2@retail.com,False
R003,Retailer_3,North,Offline,2022-10-29T00:00:00.000000000,70494.72649429168,0.24535230229040517,+91-9762370167,user3@retail.com,False
R004,Retailer_4,East,D2C,2017-07-22T00:00:00.000000000,12231.508665234447,0.5518248630176517,+91-9758332084,user4@retail.com,False
R005,Retailer_5,East,D2C,2020-12-31T00:00:00.000000000,46672.40776977217,0.6756044124958613,+91-9531102059,user5@retail.com,False
R006,Retailer_6,West,Online,2015-01-19T00:00:00.000000000,69653.81843163636,0.21208125295887892,+91-9461228039,user6@retail.com,True
R007,Retailer_7,North,Online,2015-04-03T00:00:00.000000000,42777.031752660885,0.6913673822712445,+91-9464733029,user7@retail.com,False
R008,Retailer_8,South,D2C,2016-12-27T00:00:00.000000000,65260.6952562781,0.8415143659809581,+91-9957319380,user8@retail.com,False
R009,Retailer_9,North,Online,2019-07-24T00:00:00.000000000,19858.19943497787,0.7109529090845663,+91-9903881466,user9@retail.com,True
R010,Retailer_10,South,Online,2015-09-03T00:00:00.000000000,61398.13822405371,0.5493165333080944,+91-9976368154,user10@retail.com,False
R011,Retailer_11,West,D2C,2020-12-04T00:00:00.000000000,97433.25314439536,0.12976982960961914,+91-9499850700,user11@retail.com,False
R012,Retailer_12,South,Offline,2022-11-09T00:00:00.000000000,93569.88593682752,0.7012972872750192,+91-9940982418,user12@retail.com,True
R013,Retailer_13,East,D2C,2021-09-19T00:00:00.000000000,39566.61963872698,0.41035146397187805,+91-9329909947,user13@retail.com,False
R014,Retailer_14,South,D2C,2022-07-16T00:00:00.000000000,80756.23484509472,0.03130953981457418,+91-9413731423,user14@retail.com,False
R015,Retailer_15,South,Offline,2017-11-25T00:00:00.000000000,60253.1240957839,0.5036825439418228,+91-9510239239,user15@retail.com,False
R016,Retailer_16,South,D2C,2017-06-12T00:00:00.000000000,99303.21753290949,0.8912155422356621,+91-9415800216,user16@retail.com,False
R017,Retailer_17,West,Offline,2019-09-29T00:00:00.000000000,85247.59751227203,0.4006108963171904,+91-9889644347,user17@retail.com,False
R018,Retailer_18,West,D2C,2022-08-02T00:00:00.000000000,20348.440394785946,0.5021429907835283,+91-9421862367,user18@retail.com,False
