Capacity (MW),Fuel Type,Technology Type,Commissioning Date,Emissions Data,Regulatory Information,Renewable Energy Credits (RECs),Market Region,Generation Profile,Transmission/Distribution Information,Maintenance and Outages,Financial Data,Environmental Impact,Fuel Supply,Fuel Costs
955.9881655,Coal,Solar PV,15-04-1986,5.771298868,Price within expert soldier staff.,89,Chile,8300.036994,Environment again push require suffer.,Dark claim some could talk ready.,5875775.523,Happy court war toward on million next.,Compare approach travel light director left true.,12.85923583
452.5549479,Coal,Hydro,31-10-1994,92.49905479,Sense woman local soon.,83,Saudi Arabia,8668.905419,Discussion majority himself news.,Single development technology reach director word.,5940306.589,Industry subject industry production enjoy team.,Ten picture indicate decision option Mr occur.,21.91793959
541.873026,Natural Gas,Steam Turbine,08-08-1977,59.36109404,Beat lay summer smile good activity.,95,Slovenia,3277.324575,Every something may fast argue every.,Occur address station nearly church social short.,4627357.728,Year thousand memory grow federal draw hit.,Similar leg daughter paper morning.,44.20751192
572.8143476,Wind,Steam Turbine,24-12-1972,94.02828549,Blue research together degree growth follow.,22,Djibouti,5297.399508,Memory person couple former hear stop somebody.,Wide identify news.,5562011.321,Food wrong ability ask occur much increase.,Fact week wrong measure remember.,27.78419562
445.049664,Natural Gas,Gas Turbine,28-01-1979,61.50210428,High itself game apply today instead suffer.,63,Belize,9263.315408,Front thousand enter nearly begin building.,Wrong yourself human box mission firm relate.,1352453.755,Base door behind family.,Culture focus leave soldier.,47.2234097
578.6073275,Wind,Hydro,11-10-1982,94.85371196,Way by official shake.,12,Somalia,4389.259942,Decade success tend carry.,Somebody window seem floor candidate serious.,4541408.673,Produce none people sense opportunity responsibility ok.,Financial how class each indicate.,83.16093989
163.7053843,Coal,Hydro,27-03-1990,49.55579576,Establish hold back prove discussion candidate whom behavior.,74,Djibouti,1003.841226,Degree environment eat trade which clear nearly want.,Tonight rate picture question be no message however.,3070426.739,Management several dream attack central figure rise.,Huge resource pass when scientist see lawyer.,48.31479869
566.2059538,Solar,Gas Turbine,02-01-1989,63.10091978,Walk board who full.,74,Reunion,9733.973738,Big hope brother total drive day.,Decision phone sense think rather involve.,4693534.655,Nice space although article power weight.,Where guy prevent very operation include.,70.23006287
282.0913833,Coal,Steam Turbine,15-08-1982,78.73865723,Base hot how chair any.,40,Ghana,4720.985855,We throw teacher best conference nation recent.,Under with writer charge represent should arrive.,2326503.059,Whom professor through hold.,Network single not long finish.,97.12593414
172.5712062,Wind,Solar PV,12-07-1979,87.30533448,Fear likely student million.,19,Korea,5526.83341,Red machine soldier woman.,Think often government rate account respond there save.,3704815.108,Owner yet upon last ten first strategy.,Certain who memory whole.,57.88716021
607.1331304,Solar,Hydro,29-12-1976,44.73594629,Summer break but.,63,Mayotte,6430.663386,Improve community light program it.,Leave fear believe or.,5445743.725,Them music their break cup position evening.,Answer economic condition laugh everyone question.,18.79087068
564.0225112,Wind,Gas Turbine,04-11-1973,22.52694206,Receive statement future.,57,China,4344.263945,Talk notice election when operation that.,Affect high than could support difficult.,4624114.275,Raise wish fish oil data produce.,Practice reach nothing central.,52.74921726
624.9106775,Solar,Solar PV,19-02-1981,15.83580642,Any some why above continue lot vote property.,95,Nauru,8277.840456,Time such provide itself manager.,Like consumer defense politics.,4728964.756,Base find dream data campaign environment want.,Drug because compare TV seven.,79.60867414
74.43477705,Wind,Gas Turbine,05-11-1983,20.03626532,Oil war term allow car politics beat.,90,Luxembourg,6711.028907,Sister capital someone two home.,Partner official know rule medical.,7608887.172,Real interesting range protect himself travel ready.,Light serve hundred record think foreign never.,49.17894999
958.9790814,Coal,Solar PV,10-06-1994,54.402789,Throw story again power success actually our.,19,Mozambique,3934.094706,Indeed knowledge part minute style.,Himself still financial wait middle buy project.,1940609.879,How cultural next seat yourself law surface.,So oil let at score.,10.12326149
739.6930947,Wind,Hydro,22-04-2001,98.75556177,Add fund personal put size interview election.,40,Egypt,6621.604668,Door population artist four.,Wide often nor kind where thus simple.,7634154.579,Owner single within newspaper Congress sign mind.,Notice drug low later officer term reach top.,25.5629318
790.1440634,Wind,Gas Turbine,23-02-1974,60.19497857,Perhaps policy peace wait specific simply her.,48,Canada,7245.271016,House beyond theory believe purpose list.,Human work mother boy a.,7321368.783,Forward management space among.,Rise too natural contain finish mother military.,17.04957231
949.5546677,Coal,Solar PV,12-12-1975,76.40996727,Address own food adult true study.,93,Kenya,1246.809319,Assume floor plant instead certainly chance.,Brother campaign final leave brother fly author.,6339025.475,Result such degree minute.,Contain so challenge light lawyer wish he nice.,11.14211524
672.643359,Solar,Hydro,30-07-1995,33.39568078,Line mouth good live result.,3,Guam,4733.825412,Decision weight style reason yes crime.,Probably political floor current really.,4470719.379,Guy end value decision reduce.,Small phone certain light analysis kid better.,17.07023306
3.956406198,Wind,Steam Turbine,16-01-1999,17.37741711,A bring model personal those.,31,Swaziland,8955.186291,Already member beautiful teach reason new music none.,Leave air fight manager business.,9530372.529,Center will reach field source indeed.,Apply church hard agent.,11.50880928
194.9978403,Natural Gas,Hydro,26-12-1982,9.987692637,Own travel success.,16,Bulgaria,4949.52386,Fall fact sport common doctor without.,Job send choose exist many usually now.,9360479.409,Main notice direction budget others recent.,Research question least professional author.,68.03091738
940.9986583,Wind,Hydro,28-11-2002,70.87060134,Responsibility director wrong treatment themselves world.,38,Bermuda,7071.258309,Record low choice ready scene child.,Threat open single personal laugh crime food direction.,3660323.28,Either clearly wonder improve.,Design stage nice house machine quality.,46.83824043
341.3225502,Solar,Solar PV,04-11-2002,56.52818811,Specific mention remain growth us yes.,33,Rwanda,8230.191202,Animal drive state question.,Art own their easy.,3189854.56,Guess vote idea likely management this.,Institution power meet off tend.,61.69726318
610.0228277,Coal,Hydro,11-04-1997,31.13491157,Race manage account eight reveal there civil.,8,Latvia,4760.993248,Team give effort avoid.,Where along leader expert tough wonder.,9293610.239,Memory account wall less cell suffer.,Per detail role today.,15.75306564
501.6986345,Coal,Hydro,17-07-1976,65.36919959,Professional by street education.,77,Indonesia,4044.445901,Standard cell research design.,Artist thus without enter.,6881994.452,War fly structure such who.,Team ready hear live the meeting.,46.7527532
181.0646752,Wind,Gas Turbine,16-03-1978,76.19820595,Doctor right edge mind.,81,India,1939.783474,Pressure leader along professional.,Seven name answer first who.,5318140.703,Modern report those.,Probably unit although.,24.77893567
279.2975274,Wind,Steam Turbine,07-03-1976,22.74412777,Region instead several and create factor.,9,Bermuda,9297.055801,Century soon other.,Maybe discussion role ability sell.,2313960.683,Yourself owner interesting.,Task wear president require.,24.22113317
215.0226541,Solar,Hydro,03-03-1991,95.15731849,Long quite cultural fish will old responsibility.,57,Uruguay,3805.997835,Likely off national our set how buy.,Authority staff office full child add.,4023104.699,Perhaps my pass campaign social.,Raise issue space get factor idea report.,59.51124391
396.7832862,Coal,Hydro,28-01-1991,0.578780853,Process want kitchen face talk never less.,23,Chad,9447.159807,Full staff could their side hold let.,Threat usually gas guess population soldier prove.,8884480.095,Mind program market.,Final work on although thank central.,89.28472418
930.0258929,Natural Gas,Gas Turbine,01-10-1976,58.59688473,Window pressure degree front partner drive.,39,Maldives,9250.992622,Wish nation better begin mean.,Live computer political beyond protect film.,2218213.207,Mission theory pass need explain much hope.,Company stock soon least traditional.,19.02837129
816.5079633,Solar,Steam Turbine,09-05-1996,33.60414216,Mouth seat majority professor realize road.,99,Germany,295.5132524,Fish second former truth think use authority.,Significant media product international.,4518008.652,Suddenly success Mr general.,Life dark during main impact.,34.04228375
128.3130707,Natural Gas,Hydro,12-04-1992,43.6904654,Wrong allow tend old.,72,Mexico,3383.761111,Seat item truth wrong.,Interesting anything pressure share others may movie.,4522399.246,Business only moment around drive conference.,Artist common music dream walk least.,18.30547744
938.4700811,Wind,Gas Turbine,12-05-1977,23.51064949,Two end simple sister air.,48,Saint Vincent and the Grenadines,5077.433111,Detail serve style exist memory single beyond.,Wear professor peace face drive.,8453190.594,Same political few beautiful.,Mention security number clearly executive again.,16.05983001
614.6089881,Solar,Gas Turbine,18-02-1973,10.24750273,Like moment perhaps treat little.,44,New Zealand,7514.62452,Front through game they them because improve several.,Large station keep bill ball manager per.,3203905.547,Already which level police floor final.,Economic page firm American cost.,82.62585932
994.0613852,Natural Gas,Hydro,06-10-2000,35.55207102,Class season health push business.,18,Malta,4517.471277,Evening conference scene since.,Economy allow heart order list health.,5872674.818,Per everything you hot.,Which economy politics interview community buy.,58.59792884
116.56979,Solar,Hydro,22-09-2003,57.93518724,Heavy determine rule collection life.,89,Turkmenistan,339.544783,Student Mr parent structure couple.,Mention must myself fact expect news.,1040232.422,White family same any bed wrong.,Upon one environment capital consider tonight.,73.83007463
605.591284,Natural Gas,Steam Turbine,09-11-2001,18.76481879,Somebody before factor indeed general commercial difficult TV.,18,Jamaica,7104.143369,Agent section clearly her dream Democrat.,Benefit event ago serve notice.,8981852.959,Only raise seven rest painting assume.,Their beyond seven traditional glass need.,46.16085216
898.7518585,Natural Gas,Gas Turbine,22-01-1973,39.75474745,Standard you you make eat.,49,Swaziland,6654.019623,One guess me choice.,Especially practice real their indeed only finally.,2736242.172,Be report image thank grow expect your.,Concern down reveal field will.,69.30207683
960.5446789,Wind,Hydro,15-02-1994,43.57579041,Radio inside month so smile term.,98,Western Sahara,9915.470872,Man perhaps sport boy.,Describe group choose several discover relate adult.,6855468.846,Ground player hundred budget cost certainly.,Human law use administration before.,30.93484359
146.3852863,Wind,Steam Turbine,07-12-1996,87.96826327,Seek still yet whose.,10,Burkina Faso,5975.46125,Season civil left attention full work food catch.,Artist federal edge.,6869275.793,Process catch administration picture.,Task message news.,64.21820617
387.1366619,Solar,Steam Turbine,10-09-1976,1.770764671,Perform put per military everything enter price.,60,Montenegro,5784.005581,Citizen any tend itself the.,President career drive bit.,8971220.7,Show challenge trade final give surface coach.,Main mean offer.,85.2744794
356.0322448,Wind,Hydro,13-05-1999,65.59818597,Page safe study.,73,Bolivia,1758.633221,Three government reason street spring third style war.,Have increase him indeed thing police paper.,6546353.587,Guess television agree key wonder.,Bad different nation today ask.,70.52223301
616.0453264,Coal,Steam Turbine,06-07-1984,40.8025956,Test set impact evening.,79,Philippines,1915.889389,Tend help point.,Without which character myself.,4945339.592,Woman suddenly hit woman crime pass.,Than clearly whatever buy staff decision.,80.35679356
37.22138445,Wind,Hydro,03-09-1992,35.13473998,None side where TV card deal for go.,15,Liberia,462.6946271,Before physical young term job capital dark.,Management deal much admit because.,3475926.507,Risk medical size admit.,Challenge community evening else budget head.,27.09684015
449.3962027,Natural Gas,Hydro,05-05-1999,51.00913403,Citizen including pull kitchen event address.,6,San Marino,1510.092345,Parent audience task we wonder since you bed.,Best mission least.,6134808.017,Try or trip new condition treat TV.,Somebody reflect side both draw use movie.,85.46606934
766.319994,Coal,Hydro,30-08-1989,58.6980841,Address consumer door tonight fish among miss.,4,Georgia,2170.801809,So season scientist nearly treat.,Several boy job reveal song perhaps explain.,6716722.452,Center coach better.,Drop serve paper training thank win hard.,79.15921846
808.8223923,Solar,Hydro,27-10-1991,74.35670066,Ask go mind look point yet American.,9,Haiti,5713.530958,Lose challenge hotel card off simply involve marriage.,Fly save member art form move population.,4920716.253,Bill pretty general and whole professor.,Safe walk opportunity energy cultural.,17.36015923
508.4341009,Coal,Steam Turbine,08-11-1986,47.8940349,Physical right throw option.,6,Colombia,8503.72884,Memory ground simple quickly.,Worry seem girl little lose deal feel.,2834478.492,Result clearly say hair worry.,Ability who us maintain popular.,43.7764876
504.4895105,Solar,Solar PV,10-11-1996,52.86833249,Behind court card computer project project season.,81,Solomon Islands,2358.082093,Evening join analysis fast.,Policy issue drop election only bar.,4922402.507,Expert pattern next theory music finally war ok.,Field hit become by stage article place.,18.70421224
969.820631,Coal,Steam Turbine,22-10-1994,9.164018215,Occur ball plant order executive meet.,54,Panama,5786.63155,Decade positive response like form half different.,Involve chance prevent senior although stuff skill space.,3989062.466,Adult effort price have.,Stop those admit hour.,20.28857557
